github_url,exists,readme,readme_length,installation,CI,docs,fancy_docs,examples,requirements,setup
github.com/dgerosa/precession,True,True,6011,True,False,False,True,True,True,False
github.com/dgerosa/surrkick,True,True,5597,True,False,False,True,False,True,False
github.com/dhanson/qcinv,True,False,False,False,False,False,False,False,True,False
github.com/dhanson/quicklens,True,False,False,False,False,False,False,True,True,False
github.com/dhuppenkothen/magnetron2,True,True,1805,False,False,False,False,False,False,False
github.com/dirac-institute/cometperiodsearch,True,True,186,False,False,False,False,False,False,False
github.com/djones1040/beams,True,True,2800,True,False,False,False,False,False,False
github.com/djones1040/pyphot,True,True,3160,False,True,True,False,True,True,False
github.com/djones1040/pythonphot,True,True,3160,False,True,True,False,True,True,False
github.com/djones1040/pythonphot51,False,False,False,False,False,False,False,False,False,False
github.com/dkirkby/speclite,True,True,1422,True,True,True,True,False,True,False
github.com/dkmagee/superalign,True,False,False,False,False,False,False,False,False,False
github.com/dmitryduev/broker,True,False,False,False,False,False,False,False,True,False
github.com/dmlc/xgboost,True,True,5166,True,True,True,True,True,False,False
github.com/dnidever/noaosourcecatalog,True,True,803,False,False,False,False,False,True,False
github.com/dnidever/photred,True,True,43525,True,False,True,False,False,False,False
github.com/dnidever/smashred,True,True,84,False,False,False,False,False,False,False
github.com/dnkasen/kasen_kilonova_models_2017,True,True,2406,False,False,False,False,False,False,False
github.com/dnkasen/kasen_kilonova_models_2017the,False,False,False,False,False,False,False,False,False,False
github.com/donlok/decouple,True,True,283,False,False,False,False,False,False,False
github.com/donlok/photometry_astrometry,True,True,69,False,False,False,False,False,False,False
github.com/dotbot2000/iso,True,True,5553,False,False,True,False,False,False,False
github.com/dougalsutherland/py-sdm,True,True,9795,True,False,False,False,False,True,False
github.com/drlaw1558/osiris,True,True,8,False,False,False,False,False,False,False
github.com/drphilmarshall/om10,True,True,2300,True,True,True,False,True,True,False
github.com/drphilmarshall/pangloss,True,True,5444,True,False,True,False,True,False,False
github.com/drsteve/pyforecasttools,True,True,1900,True,True,True,False,False,True,False
github.com/drupke/ifsfit,True,True,10077,False,False,False,False,False,False,False
github.com/drupke/ifsred,True,True,3229,False,False,False,False,False,False,False
github.com/dstndstn/tractor,True,True,1879,True,True,True,True,True,True,False
github.com/dtamayo/reboundx,True,True,4054,True,True,True,True,True,True,False
github.com/duffell/disco,True,True,1965,False,False,False,False,False,False,False
github.com/duffell/rt1d,True,True,792,False,False,False,False,False,False,False
github.com/dzesmin/rrc-blecicetal-2017-apj-3dretriev,True,True,144,False,False,False,False,False,False,False
github.com/dzesmin/tea,True,False,False,False,False,True,False,True,False,False
github.com/dzesmin/tea-examples,True,False,False,False,False,False,False,False,False,False
github.com/eas342/spectral,False,False,False,False,False,False,False,False,False,False
github.com/ebachelet/pylima,True,True,3813,True,True,True,False,True,True,False
github.com/ebechter/instrumentsimulator,True,True,3466,False,False,True,False,True,False,False
github.com/ebellm/pyraf-dbsp,True,True,776,False,False,True,True,False,True,False
github.com/eblur/dust,True,True,659,True,True,True,True,True,True,False
github.com/eblur/dust;,False,False,False,False,False,False,False,False,False,False
github.com/eblur/ghost,False,False,False,False,False,False,False,False,False,False
github.com/eblur/ismdust,True,True,4653,True,False,False,False,False,False,False
github.com/eelregit/mcfit,True,True,3114,False,False,True,False,True,True,False
github.com/egaburov/fvmhd3d,True,True,948,False,False,False,False,False,False,False
github.com/eggplantbren/dnest3,True,True,4146,True,False,True,False,True,False,False
github.com/eggplantbren/dnest4,True,True,3808,True,True,False,False,True,False,False
github.com/ekta1224/bayestoolssatdynamics,True,False,False,False,False,False,False,False,False,False
github.com/eleonorazari/oriondr1,True,True,1480,True,False,False,True,False,False,False
github.com/elikrause/cosmolike_forecasts,True,True,353,False,False,False,False,False,False,False
github.com/elisabethadams/des-class-populations,True,True,841,False,False,False,False,False,False,False
github.com/elisehampton/lzcomp,True,True,99,False,False,False,False,False,False,False
github.com/elizakempton/exo_transmit,True,False,False,False,False,False,False,False,False,False
github.com/elnjensen/tapir,True,True,11595,True,False,False,False,True,False,False
github.com/emilieparent/ffago,True,True,321,False,False,False,False,False,False,False
github.com/emolter/nirc2,False,False,False,False,False,False,False,False,False,False
github.com/enricocorsaro/diamonds,True,True,633,False,False,True,False,True,False,False
github.com/ericagol/ttvfaster,True,True,4123,True,False,False,False,False,False,False
github.com/ericmandel/funtools,True,False,False,False,False,True,False,False,False,False
github.com/ernewton/nirew,True,True,2798,False,False,False,False,True,False,False
github.com/ernewton/rogui,True,True,1398,False,False,False,False,True,False,False
github.com/ernewton/tellrv,True,True,4207,True,False,False,False,True,False,False
github.com/esheldon/fitsio,True,True,14465,True,True,False,False,True,True,False
github.com/esheldon/kmeans,False,False,False,False,False,False,False,False,False,False
github.com/esheldon/kmeans_radec,True,True,2673,True,False,False,False,True,True,False
github.com/esheldon/ngmix,True,True,1226,True,False,False,False,True,True,False
github.com/esheldon/psfex,True,True,2004,True,False,False,False,False,True,False
github.com/espaceepfl/cassisgeometry,True,True,829,False,False,True,False,False,False,False
github.com/esplint/iracpm,True,True,1971,True,False,False,False,False,False,False
github.com/eteq/piscdwarfs_hst,True,False,False,False,False,False,False,False,False,False
github.com/eteq/piscdwarfs_hst;,False,False,False,False,False,False,False,False,False,False
github.com/eteq/rgbmcmr,True,True,507,True,False,False,False,False,False,False
github.com/exoclime/helios,True,True,1492,False,False,True,True,False,False,False
github.com/exoclime/vulcan,True,True,8111,True,False,False,False,False,False,False
github.com/exoctk/chimera,True,True,1309,True,False,False,False,False,False,False
github.com/exoplanetvetting/dave,True,True,2401,True,False,False,False,False,True,False
github.com/exosports/bart,True,True,8416,True,False,True,False,True,False,False
github.com/exosports/transit,True,True,6082,True,False,True,False,True,False,False
github.com/farr/aldebaran,True,True,87,False,False,False,False,False,False,False
github.com/farr/carma,False,False,False,False,False,False,False,False,False,False
github.com/farr/ensemble,False,False,False,False,False,False,False,False,False,False
github.com/farr/rings,True,False,False,False,False,True,False,False,False,False
github.com/farr/skyarea,True,False,False,False,False,True,False,False,True,False
github.com/fchollet/keras,True,True,8689,True,True,True,False,True,True,False
github.com/fedhere/residuals_pylab,True,True,1638,False,False,False,False,False,False,False
github.com/feffenberger/occulted-flares,True,True,820,False,False,False,False,False,False,False
github.com/fermipy/fermipy,True,True,1164,True,True,True,True,False,True,False
github.com/fjdu/myradex,True,True,1521,False,False,False,False,False,False,False
github.com/fjdu/rac-2d,True,True,32391,False,False,False,False,False,False,False
github.com/fmihpc/analysator,True,False,False,False,False,False,False,True,False,False
github.com/fpavogt/x3d-pathway,True,False,False,False,False,False,True,False,False,False
github.com/fraserw/trippy,True,True,2804,True,False,False,False,True,True,False
