arxiv_id,urls
arXiv:1510.08483,['github.com/seeh/surprise']
arXiv:1502.04715,['github.com/dfm/k2-paper' 'github.com/dfm/ketu']
arXiv:1202.3665,"['github.com/dfm/acor' 'github.com/dfm/emcee'
 'github.com/dfm/emcee/issues']"
arXiv:1610.04621,"['github.com/kasperschmidt/'
 'github.com/kasperschmidt/GLASSinspectionGUIs']"
arXiv:1609.09492,"['github.com/cmillion/gPhoton'
 'github.com/cmillion/gPhoton/blob/master/docs/']"
arXiv:1601.07608,"['github.com/nespinoza/ao-reduction' 'github.com/nespinoza/exonailer'
 'github.com/timothydmorton/VESPA']"
arXiv:1803.00007,[]
arXiv:1503.07866,['github.com/timothydmorton/isochrones' 'github.com/timothydmorton/vespa']
arXiv:1710.11152,['github.com/smillholland/Kepler']
arXiv:1509.01989,['github.com/steven-murray/hmf']
arXiv:1710.06442,"['github.com/NuGrid/NuPyCEE' 'github.com/NuGrid/NuPyCEE/blob/master/DOC/'
 'github.com/becot85/JINAPyCEE' 'github.com/brittonsmith/ytree:']"
arXiv:1406.3020,"['github.com/dfm/exopop'
 'github.com/jobovy/bovy_mcmc/blob/master/bovy_mcmc/elliptical_slice']"
arXiv:1712.05834,"['github.com/bccp/conda-channel-bccp' 'github.com/bccp/nbodykit'
 'github.com/eelregit/mcfit' 'github.com/esheldon/fitsio'
 'github.com/labarba/NSFcommittee-SI2017/'
 'github.com/rainwoodman/python-mpi-bcast'
 'github.com/rainwoodman/runtests']"
arXiv:1507.02884,['github.com/xdqso/xdqso/']
arXiv:1805.09413,"['github.com/Donlok/Decouple' 'github.com/Donlok/Photometry_Astrometry'
 'github.com/astropy/photutils/tree/v0']"
arXiv:1710.05226,['github.com/chandra-marx/marxs']
arXiv:1810.02824,"['github.com/gbrammer/grizli' 'github.com/gbrammer/threedhst'
 'github.com/gbrammer/unicorn' 'github.com/ivastar/clear']"
arXiv:1610.09533,['github.com/hannorein/rebound']
arXiv:1407.5793,"['github.com/CosmoloPy/),']"
arXiv:1610.01688,[]
arXiv:1607.01782,['github.com/simongibbons/pyfof)']
arXiv:1606.01471,[]
arXiv:1708.07053,['github.com/;' 'github.com/zemogle/chemevol/releases/tag/']
arXiv:1611.08530,[]
arXiv:1708.01626,[]
